run,normalization_method,activation_function,learning_rate,nodes,layers,epoch,loss,validation,modelname,option,mean_std
0,no-norm,relu,0.01,"[8, 8]",2,0,0.052500512450933456,0.0017434429610148072,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,1,0.001119169406592846,0.0009191333665512502,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,2,0.0005839918740093708,0.00048825767589733005,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,3,0.0006326759466901422,0.010421497747302055,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,4,0.0009266728884540498,0.00046900982852093875,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,5,0.0005054967477917671,0.0005496550584211946,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,6,0.0004439983458723873,0.0020584671292454004,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,7,0.0005829570582136512,0.0003075677377637476,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,8,0.0004815362044610083,0.0003340303082950413,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,9,0.0005445177666842937,0.0008313299040310085,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,10,0.0005597123526968062,0.0026740673929452896,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,11,0.0005121171707287431,0.0008022249676287174,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,12,0.00044217868708074093,0.004714197013527155,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,13,0.0006032394012436271,0.0004949176800437272,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,14,0.00036866971640847623,0.0006371710915118456,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,15,0.0003616037720348686,0.0013609860325232148,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,16,0.0004319570434745401,0.0005723621579818428,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,17,0.0003804231819231063,0.000980199663899839,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
